Device,C1,,Device,C1(SV1),,Device,C1(SV2),,Device,C2,,Device,C3,,Device,C3(SV1),,Device,C3(SV2),,Device,C4,,Device,C5,,Device,C5(SV2),,Device,C5(SV1),,Device,C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000406265,0.04905115,1.99E-05,0.000511169,0.01902102,9.72E-06,0.000497818,0.01250212,6.22E-06,0.000320435,0.04946725,1.59E-05,0.000236511,0.04896411,1.16E-05,0.000310898,0.01928432,6.00E-06,0.000368118,0.01247755,4.59E-06,0.000270844,0.05004483,1.36E-05,0.000192642,0.0495165,9.54E-06,0.000328064,0.01257148,4.12E-06,0.00028801,0.01942432,5.59E-06,0.000183106,0.05013475,9.18E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02043533,0.0492156,0.001005737,0.02054405,0.01903881,0.000391134,0.0205307,0.01252484,0.000257144,0.02035904,0.04945986,0.001006955,0.02026939,0.04888622,0.000990894,0.02036095,0.01931241,0.000393219,0.02038956,0.01241168,0.000253069,0.02029037,0.05017905,0.001018151,0.02022552,0.04931056,0.000997332,0.02036285,0.0125605,0.000255768,0.02033234,0.01948351,0.000396145,0.02022934,0.05008821,0.001013251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.040680313,0.049174818,0.002000447,0.040784834,0.019034208,0.000776307,0.040784454,0.01250401,0.000509969,0.040611649,0.049457444,0.002008548,0.040526578,0.048945154,0.00198358,0.040602114,0.01929442,0.000783394,0.04063988,0.012477092,0.000507068,0.040541075,0.050101264,0.002031159,0.040470122,0.049265672,0.001993788,0.040607069,0.012565318,0.000510241,0.040574646,0.019420804,0.000787992,0.040468597,0.050083786,0.002026821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06079826,0.049201208,0.002991348,0.06090202,0.019036038,0.001159333,0.06090165,0.012497186,0.000761099,0.060730362,0.049413768,0.003000916,0.060640716,0.048954546,0.002968639,0.060718534,0.01929162,0.001171359,0.060752496,0.01245971,0.000756958,0.060654446,0.050087856,0.003038051,0.060586934,0.049229602,0.002982671,0.060721196,0.012548368,0.000761952,0.060694504,0.019406328,0.001177857,0.060586556,0.050036374,0.003031532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.080994414,0.049182204,0.003983484,0.08109893,0.019016666,0.001542231,0.08110161,0.012491742,0.0010131,0.080928794,0.04937431,0.003995803,0.080835718,0.048943378,0.003956373,0.080914684,0.019276928,0.001559787,0.080948644,0.012465886,0.001009097,0.080849452,0.050042268,0.00404589,0.08078537,0.049221314,0.003976362,0.080915826,0.012539744,0.001014664,0.080889136,0.019385964,0.001568114,0.080783088,0.049999462,0.004039111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10110855,0.049154802,0.004969971,0.101214218,0.019008818,0.001923963,0.101213072,0.012497306,0.001264891,0.101038726,0.049362474,0.004987521,0.100947572,0.048927314,0.004939094,0.101027672,0.019261782,0.001945973,0.10106277,0.01246588,0.001259836,0.100962834,0.050003216,0.005048466,0.100898358,0.049234126,0.004967642,0.101028046,0.012530856,0.001265968,0.10100327,0.019390296,0.001958483,0.100894174,0.049985816,0.005043278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.121230314,0.049156772,0.005959291,0.121339408,0.019005532,0.00230612,0.121333688,0.01249936,0.001516593,0.121158964,0.04937342,0.005982032,0.121066658,0.048960318,0.005927462,0.12115097,0.019239916,0.002330934,0.121181858,0.012472392,0.001511428,0.121088792,0.05003546,0.006058733,0.12102203,0.049257142,0.005961199,0.121149426,0.012512002,0.001515822,0.121125412,0.019392956,0.00234898,0.121013266,0.04998255,0.006048552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14134712,0.049169682,0.006949993,0.14145964,0.018994492,0.002686954,0.1414543,0.012500328,0.001768225,0.14128072,0.049376156,0.006975899,0.14118576,0.04895936,0.006912364,0.14126968,0.019228376,0.002716387,0.14129942,0.01247013,0.001762022,0.14120102,0.050070492,0.007070005,0.14114112,0.049280852,0.006955555,0.14127082,0.012507124,0.001766892,0.14124336,0.019371192,0.002736052,0.14113236,0.04994689,0.007049122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16152458,0.049187546,0.007944998,0.16164282,0.018984866,0.003068767,0.16163862,0.012509378,0.002021999,0.16146428,0.049393024,0.007975209,0.1613697,0.048976558,0.007903332,0.1614544,0.019236366,0.003105796,0.1614826,0.012476056,0.002014666,0.16138,0.050033214,0.00807436,0.16131972,0.049223918,0.007940789,0.16145592,0.012514768,0.002020583,0.16142348,0.019362648,0.003125586,0.16131324,0.049899482,0.008049447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18161278,0.049198054,0.008934995,0.1817356,0.01899357,0.003451808,0.18172988,0.012498234,0.002271303,0.18155286,0.049413108,0.008971091,0.18146514,0.048978592,0.008887907,0.18154526,0.019255902,0.003495818,0.18157576,0.012478004,0.002265703,0.18146934,0.050030262,0.009078959,0.1814083,0.049129174,0.00891244,0.1815487,0.012511934,0.002271525,0.18151434,0.019376168,0.003517052,0.18140296,0.04992441,0.009056436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
