Device,C1_2,,Device,C1(SV1)_2,,Device,C1(SV2)_2,,Device,C3_4,,Device,C3(SV2)_4,,Device,C3(SV1)_4,,Device,C5_6,,Device,C5(SV1)_6,,Device,C5(SV2)_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000343323,0.04924497,1.69E-05,0.000415802,0.01954432,8.13E-06,0.000400543,0.0128945,5.16E-06,0.000190735,0.0494305,9.43E-06,0.000347138,0.01269092,4.41E-06,0.000328064,0.01938275,6.36E-06,0.000183106,0.04993029,9.14E-06,0.000270844,0.01927036,5.22E-06,0.000320435,0.01282796,4.11E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04078674,0.04895024,0.001996521,0.04084015,0.01964119,0.000802149,0.04083633,0.01286535,0.000525374,0.04062653,0.04933566,0.002004337,0.04076576,0.01266935,0.000516476,0.04074097,0.01927727,0.000785375,0.04060745,0.04983412,0.002023637,0.04069328,0.01935413,0.000787583,0.04073906,0.0128697,0.000524299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.080945599,0.049107462,0.003975033,0.081017296,0.019611204,0.001588847,0.081006611,0.012871872,0.001042707,0.080789959,0.049196518,0.003974585,0.080947112,0.012609924,0.001020737,0.080922317,0.019328614,0.001564116,0.080782301,0.049858622,0.004027694,0.080875769,0.019349198,0.001564881,0.080916969,0.012830978,0.001038244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.121244054,0.04909785,0.005952822,0.121317276,0.019602018,0.002378063,0.121306602,0.012869642,0.001561173,0.121088412,0.049173252,0.005954311,0.121247104,0.012586108,0.001526029,0.121220784,0.019328062,0.002342963,0.12108268,0.049816692,0.006031939,0.121175,0.019366392,0.002346723,0.121216202,0.012829748,0.001555173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.161452866,0.049133214,0.007932698,0.161529146,0.019589052,0.003164203,0.161516556,0.012864832,0.002077883,0.161295706,0.0491604,0.007929361,0.161457452,0.012587212,0.002032299,0.16143417,0.019332354,0.003120903,0.16129417,0.04979253,0.008031245,0.161386104,0.019355026,0.003123632,0.16142731,0.01282124,0.002069698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20175972,0.049169984,0.009920522,0.20183332,0.019579618,0.003951819,0.20182226,0.012860446,0.002595524,0.20160408,0.049139046,0.009906632,0.20175858,0.012595962,0.002541343,0.20174064,0.019331332,0.003899915,0.20159072,0.049783818,0.010035956,0.20168724,0.019334438,0.003899509,0.20172958,0.012817544,0.002585678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24196892,0.04919351,0.0119033,0.24204404,0.019564434,0.004735455,0.2420349,0.012857574,0.003111982,0.24181366,0.049151318,0.01188546,0.24196816,0.012611124,0.00305149,0.2419506,0.019338104,0.004678866,0.24180106,0.049738002,0.012026702,0.24190102,0.019325298,0.004674809,0.24193878,0.01282042,0.003101757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28225212,0.049167416,0.013877607,0.28232916,0.019575364,0.005526696,0.28232002,0.012846942,0.003626949,0.28209724,0.049178218,0.01387304,0.28225174,0.012631776,0.003565341,0.2822361,0.019339738,0.005458372,0.28208924,0.049768318,0.014039107,0.2821888,0.019330996,0.005454991,0.28222314,0.012824734,0.003619437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32246476,0.049160648,0.015852577,0.32254142,0.019590748,0.006318828,0.32253532,0.012826442,0.004136981,0.32230874,0.049168252,0.015847357,0.32246474,0.01262629,0.004071533,0.32245102,0.019318576,0.006229295,0.32230072,0.049823956,0.016058297,0.3224079,0.019321276,0.006229332,0.32243576,0.01282069,0.004133849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36277314,0.04914645,0.017829012,0.36285246,0.01959632,0.007110573,0.3628437,0.01281255,0.004648953,0.36262016,0.049120634,0.017812132,0.36277312,0.012604412,0.004572542,0.36275712,0.019314902,0.007006618,0.36260338,0.049830462,0.018068694,0.3627201,0.01932985,0.007011325,0.36274452,0.012814214,0.004648286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
