Device,C1,,Device,C2,,Device,C3,,Device,C4,,Device,C5,,Device,C6,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W]
0.000600815,0.05006769,3.01E-05,0.000541687,0.0497905,2.70E-05,0.00053215,0.04986811,2.65E-05,0.000534058,0.05088902,2.72E-05,0.00053215,0.0502166,2.67E-05,0.000494003,0.05084419,2.51E-05
0.01964188,0.0501955,0.000985934,0.01958656,0.04982868,0.000975972,0.0195713,0.0492256,0.000963409,0.01954079,0.05070038,0.000990725,0.01954079,0.05027761,0.000982464,0.01952553,0.05077481,0.000991405
0.038184357,0.050108098,0.001913346,0.038135527,0.049899428,0.001902941,0.038119886,0.049417942,0.001883806,0.038101198,0.05073346,0.001933006,0.03810196,0.050307574,0.001916817,0.038082885,0.050752874,0.001932816
0.057009888,0.050128084,0.002857796,0.056962966,0.049892628,0.002842032,0.05694885,0.049359332,0.002810957,0.056923296,0.050740424,0.002888312,0.05692482,0.05035467,0.002866431,0.05690956,0.050769418,0.002889265
0.075839232,0.050127938,0.003801664,0.075796514,0.049869406,0.003779927,0.07577895,0.04938596,0.003742416,0.075756078,0.05072194,0.003842495,0.075756082,0.050387946,0.003817193,0.075743474,0.050791008,0.003847087
0.09466629,0.050141676,0.004746726,0.094616328,0.04986656,0.004718191,0.094598758,0.049424428,0.00467549,0.094586178,0.050726526,0.004798028,0.09458619,0.05037995,0.004765248,0.094564048,0.050810256,0.004804823
0.113493338,0.05014013,0.005690571,0.11344225,0.04985666,0.005655852,0.113429242,0.049464774,0.005610752,0.113410182,0.050697308,0.005749591,0.113411712,0.050381674,0.005713872,0.113387286,0.050806912,0.005760858
0.132249054,0.050121868,0.00662857,0.132202936,0.049856156,0.00659113,0.132190694,0.049432302,0.00653449,0.13216743,0.05068576,0.006699007,0.13216629,0.050347368,0.006654225,0.132147976,0.050758942,0.006707691
0.15100286,0.050125388,0.007569077,0.15096094,0.049854864,0.007526137,0.15094146,0.049403784,0.007457079,0.15092086,0.050664198,0.007646284,0.15091744,0.050296392,0.007590603,0.15090408,0.050656366,0.007644252
